rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,COL,HOU,1.0456,NRFI,LEAN,LEAN NRFI,55.9,44.1
2,MIA,ATL,1.0418,PASS,NO EDGE,PASS,49.9,50.1
3,CHC,PHI,1.0115,NRFI,LEAN,LEAN NRFI,53.5,46.5
4,SF,CIN,0.9968,PASS,NO EDGE,PASS,52.3,47.7
5,ARI,BAL,0.9954,PASS,NO EDGE,PASS,49.8,50.2
6,KC,DET,0.9563,PASS,NO EDGE,PASS,49.4,50.6
7,WSH,PIT,0.9480,PASS,NO EDGE,PASS,50.6,49.4
8,TB,CWS,0.9272,NRFI,LEAN,LEAN NRFI,53.0,47.0
9,LAA,NYY,0.8960,NRFI,LEAN,LEAN NRFI,55.2,44.8
10,CLE,STL,0.8891,PASS,NO EDGE,PASS,52.7,47.3
11,TEX,OAK,0.8761,YRFI,LEAN,LEAN YRFI,45.2,54.8
12,BOS,MIN,0.8656,PASS,NO EDGE,PASS,52.5,47.5
13,TOR,MIL,0.8147,NRFI,STRONG,STRONG NRFI,65.6,34.4
14,SEA,SD,0.7694,NRFI,LEAN,LEAN NRFI,53.8,46.2
15,NYM,LAD,0.6913,PASS,NO EDGE,PASS,47.1,52.9
